FECHA;Al04TMax;Al04TMin;Al04TMed;Al04Precip 
dd-mm-yy; ºC; ºC, ºC; mm
12-08-15;36.5;21.9;28.5;0.0
11-08-15;34.3;22.1;26.9;0.0
10-08-15;34.2;22.3;27.1;0.2
09-08-15;31.4;20.1;25.6;0.0
08-08-15;34.5;23.3;28.0;0.0
07-08-15;35.5;22.9;28.8;0.0
06-08-15;34.3;23.7;28.1;0.0
05-08-15;33.7;19.3;26.9;0.0
04-08-15;34.5;20.0;27.3;0.0
03-08-15;35.0;19.7;26.6;0.0
02-08-15;30.1;19.1;24.3;0.0
01-08-15;31.8;18.2;24.5;0.0
31-07-15;31.5;21.2;25.3;0.0
30-07-15;33.5;21.2;26.5;0.0
29-07-15;38.3;20.6;28.0;0.0
28-07-15;34.2;21.0;26.9;0.2
27-07-15;38.7;18.4;28.4;0.0
26-07-15;33.0;20.7;26.4;0.0
25-07-15;33.2;20.8;27.2;0.0
24-07-15;37.2;21.6;28.2;0.0
23-07-15;33.9;19.4;26.6;0.0
22-07-15;36.2;18.3;27.0;0.0
21-07-15;37.1;19.7;27.8;0.0
20-07-15;34.7;19.7;27.3;0.0
19-07-15;35.8;18.8;27.8;0.0
18-07-15;33.8;20.5;27.0;0.0
17-07-15;36.2;19.0;26.8;0.0
16-07-15;35.3;18.2;27.2;0.0
15-07-15;34.7;18.4;26.4;0.0
14-07-15;35.1;18.7;26.8;0.0
13-07-15;33.6;18.0;26.3;0.0
12-07-15;33.9;18.6;26.1;0.0
11-07-15;34.6;18.2;25.9;0.0
10-07-15;35.2;17.2;25.7;0.0
09-07-15;33.8;19.8;25.9;0.0
08-07-15;41.1;20.2;30.8;0.0
07-07-15;38.8;19.0;29.9;0.0
06-07-15;37.0;20.2;29.1;0.0
05-07-15;36.7;18.4;28.0;0.0
04-07-15;34.7;18.7;25.7;0.0
03-07-15;32.6;19.4;24.8;0.0
02-07-15;33.2;20.6;25.6;0.0
01-07-15;32.8;18.8;26.0;0.2
30-06-15;34.9;18.7;27.1;0.0
29-06-15;35.0;18.5;27.2;0.0
28-06-15;38.1;17.2;28.4;0.0
27-06-15;34.7;17.3;26.2;0.0
26-06-15;32.4;15.3;24.2;0.0
25-06-15;28.9;15.2;22.0;0.2
24-06-15;29.2;15.1;22.3;0.0
23-06-15;33.2;16.9;24.1;0.2
22-06-15;34.3;15.7;25.3;0.0
21-06-15;30.8;15.6;23.3;0.0
20-06-15;30.4;14.6;22.8;0.0
19-06-15;29.6;12.5;21.8;0.0
18-06-15;26.0;14.7;20.1;0.0
17-06-15;26.9;11.6;20.5;0.0
16-06-15;25.4;10.5;19.2;0.0
15-06-15;25.5;10.8;18.4;0.0
14-06-15;24.2;11.2;18.5;0.0
13-06-15;27.5;12.2;20.5;0.0
12-06-15;27.7;13.0;21.2;0.0
11-06-15;25.1;15.2;19.8;3.0
10-06-15;28.1;13.3;21.4;0.0
09-06-15;28.2;14.0;21.5;0.0
08-06-15;28.3;10.8;21.0;0.0
07-06-15;27.4;13.5;20.8;0.0
06-06-15;27.5;14.0;21.1;0.0
05-06-15;28.9;12.3;20.8;0.0
04-06-15;26.9;12.0;20.1;0.0
03-06-15;27.7;12.1;20.5;0.0
02-06-15;28.1;12.1;21.0;0.0
01-06-15;26.6;14.5;20.1;0.0
31-05-15;28.5;11.7;20.7;0.0
30-05-15;28.3;12.2;20.0;0.0
29-05-15;26.2;14.3;19.8;0.0
28-05-15;25.4;11.7;18.3;0.0
27-05-15;26.4;10.6;18.3;0.0
26-05-15;26.1;7.5;18.1;0.0
25-05-15;20.3;9.2;16.0;0.0
24-05-15;19.0;11.8;14.9;0.0
23-05-15;21.7;9.3;15.4;0.0
22-05-15;20.2;10.0;14.8;0.0
21-05-15;20.1;11.2;15.5;0.0
20-05-15;19.3;13.6;15.4;3.2
19-05-15;31.2;12.8;21.2;0.0
18-05-15;25.9;8.8;18.8;0.0
17-05-15;25.9;8.6;17.7;0.0
16-05-15;23.2;10.0;17.0;0.0
15-05-15;28.3;12.8;21.0;0.0
14-05-15;38.0;15.5;27.5;0.0
13-05-15;35.7;13.6;24.6;0.0
12-05-15;30.6;12.0;21.5;0.0
11-05-15;28.8;11.6;19.8;0.0
10-05-15;26.2;12.6;19.3;0.0
09-05-15;29.0;11.6;20.7;0.0
08-05-15;30.0;8.6;19.7;0.0
07-05-15;26.2;10.4;18.3;0.0
06-05-15;25.8;12.7;19.2;0.0
05-05-15;27.4;14.7;22.1;0.0
04-05-15;33.8;16.1;25.0;0.0
03-05-15;34.7;11.2;23.4;0.0
02-05-15;31.0;13.2;22.0;0.0
01-05-15;29.2;9.7;19.2;0.0
30-04-15;24.2;9.5;17.4;0.0
29-04-15;25.6;7.1;16.6;0.0
28-04-15;21.7;7.3;15.4;0.0
27-04-15;22.5;11.3;16.6;0.2
26-04-15;24.5;9.9;16.5;3.2
25-04-15;22.5;9.6;16.6;0.0
24-04-15;25.2;8.9;16.5;0.0
23-04-15;24.2;9.6;17.3;0.0
22-04-15;22.3;10.2;15.5;0.0
21-04-15;19.7;10.5;14.0;0.0
20-04-15;19.9;9.7;14.1;0.0
19-04-15;20.8;7.9;14.5;0.0
18-04-15;23.4;7.7;15.1;0.2
17-04-15;21.2;8.2;14.6;0.0
16-04-15;20.8;10.1;14.8;0.2
15-04-15;17.7;10.5;13.2;13.4
14-04-15;20.9;14.0;17.5;0.0
13-04-15;20.2;12.0;15.4;0.0
12-04-15;16.6;9.1;12.6;4.2
11-04-15;13.8;8.7;10.7;8.2
10-04-15;17.1;5.1;10.6;0.0
09-04-15;14.2;5.8;9.8;1.4
08-04-15;13.6;8.0;10.1;0.0
07-04-15;12.8;8.6;9.7;1.4
06-04-15;13.8;9.3;11.3;0.0
05-04-15;22.1;8.3;14.2;0.0
04-04-15;20.1;7.7;13.0;0.0
03-04-15;22.0;6.8;14.0;0.0
02-04-15;18.7;6.9;12.5;0.0
01-04-15;21.0;8.9;15.7;0.0
31-03-15;28.7;10.7;20.2;0.0
30-03-15;27.9;8.9;18.7;0.0
29-03-15;27.3;9.6;18.5;0.0
28-03-15;27.1;8.5;17.5;0.0
27-03-15;23.3;10.2;17.0;0.0
26-03-15;16.2;1.6;10.0;0.0
25-03-15;12.2;5.1;8.5;3.0
24-03-15;12.6;5.9;9.0;10.2
23-03-15;15.7;4.8;10.2;0.0
22-03-15;16.8;4.1;9.8;0.2
21-03-15;15.0;3.9;9.5;0.2
20-03-15;12.0;6.9;10.0;20.6
19-03-15;13.5;9.1;10.8;1.0
18-03-15;10.8;6.2;8.4;5.4
17-03-15;12.8;6.6;8.8;1.2
16-03-15;14.0;1.8;8.5;0.0
15-03-15;14.3;6.7;9.8;0.2
14-03-15;14.5;6.9;10.0;0.6
13-03-15;17.1;7.3;11.3;0.0
12-03-15;26.0;5.9;15.2;0.0
11-03-15;25.4;3.2;13.5;0.0
10-03-15;22.4;2.8;11.7;0.0
09-03-15;18.1;2.5;9.4;0.0
08-03-15;15.1;1.8;8.9;0.0
07-03-15;19.6;-1.9;8.6;0.0
06-03-15;16.3;-2.5;6.3;0.0
05-03-15;14.5;-0.8;8.5;0.0
04-03-15;22.9;8.0;14.1;0.0
03-03-15;24.4;7.7;15.9;0.0
02-03-15;24.9;5.9;14.8;0.0
01-03-15;21.2;4.3;12.1;0.0
28-02-15;17.7;3.7;10.8;0.0
27-02-15;21.2;5.6;13.8;0.0
26-02-15;20.7;11.2;15.5;0.0
25-02-15;15.1;7.9;11.6;0.0
24-02-15;17.3;3.5;11.5;0.0
